Chat,Topic,Cleaned_Chat
"Hey, let's head to the mountains this weekend.",Traveling,hey let head mountains weekend
I tried this amazing soup recipe yesterday.,Cooking,tried amazing soup recipe yesterday
Anyone up for a movie tonight?,Movie discussions,movie tonight
"Guys, the local library has a book sale.",Reading,guys local library book sale
I went on a 5k run today.,Running,went run today
Check out this cool dance move.,Dancing,check cool dance
Just finished knitting a sweater.,Knitting,finished knitting sweater
I'm planning to start my own vegetable garden.,Gardening,planning start vegetable garden
Found a cool trail for mountain biking.,Biking,found cool trail mountain biking
Let's go for a swim at the beach tomorrow.,Swimming,let swim beach tomorrow
I've been practicing my guitar skills.,Music,practicing guitar skills
I've always wanted to try scuba diving.,Scuba diving,wanted try scuba diving
Last night's Dungeons and Dragons session was epic.,Gaming,night dungeons dragons session epic
I've started learning French.,Studying languages,started learning french
Look at this painting I made!,Painting,look painting
I went kayaking in the river last weekend.,Kayaking,went kayaking river weekend
I bought some new clothes for summer.,Shopping,bought new clothes summer
Thinking of attending a meditation retreat.,Meditating,thinking attending meditation retreat
I'm making some cool pottery pieces.,Pottery,making cool pottery pieces
Started practicing my archery skills.,Archery,started practicing archery skills
I'm trying to perfect this brownie recipe.,Baking,trying perfect brownie recipe
I've captured some great shots during my city tour.,Photographing,captured great shots city tour
Did anyone catch that theatre play downtown?,Acting,catch theatre play downtown
I need some book recommendations for my next read.,Reading,need book recommendations read
Thinking of taking a surfing lesson this weekend.,Surfing,thinking taking surfing lesson weekend
"I've got some puzzles, anyone up for a game night?",Puzzling,got puzzles game night
Watched a cool video on leather crafting. Might try it.,Leatherworking,watched cool video leather crafting try
I've been collecting stamps since I was a kid.,Collecting,collecting stamps kid
"Going ice skating tonight, wish me luck!",Ice skating,going ice skating tonight wish luck
The stars were so clear last night.,Astronomy,stars clear night
Spent the day volunteering at the local animal shelter.,Volunteering,spent day volunteering local animal shelter
I've designed a new logo for our group.,Designing,designed new logo group
Does anyone have a guide on how to start brewing?,Brewing,guide start brewing
My martial arts class was intense today.,Martial arts,martial arts class intense today
"I've been birdwatching in the park, spotted a rare species!",Birdwatching,birdwatching park spotted rare species
Want to join me for some rock climbing?,Climbing,want join rock climbing
I've been into glassblowing lately. It's fascinating.,Glassblowing,glassblowing lately fascinating
Writing a short story. Need some feedback.,Writing,writing short story need feedback
Join me for a yoga session in the evening?,Yoga,join yoga session evening
"Trying my hand at sewing, made a cool bag!",Sewing,trying hand sewing cool bag
Learned a new card trick. Ready to be amazed?,Magic,learned new card trick ready amazed
Let's plan a camping trip next month.,Camping,let plan camping trip month
I'm so into fencing these days. It's thrilling!,Fencing,fencing days thrilling
Setting up my telescope tonight for some stargazing.,Astronomy,setting telescope tonight stargazing
Practicing for the ballet recital next week.,Ballet,practicing ballet recital week
Found a cool woodworking project online.,Woodworking,found cool woodworking project online
Been meditating every morning. Feels refreshing.,Meditating,meditating morning feels refreshing
Anyone up for a sail this weekend?,Sailing,sail weekend
I've been sculpting a piece for the local art show.,Sculpting,sculpting piece local art
I've started journaling my daily activities.,Journaling,started journaling daily activities
Spent the afternoon making some cool bracelets.,Crafting,spent afternoon making cool bracelets
I caught a huge fish on my trip last weekend.,Fishing,caught huge fish trip weekend
Anyone know a good place for paragliding?,Paragliding,know good place paragliding
"My pottery class has been so rewarding, made a beautiful vase.",Pottery,pottery class rewarding beautiful vase
Going horseback riding at the ranch tomorrow.,Horseback riding,going horseback riding ranch tomorrow
Found a brilliant recipe for homemade pizza.,Cooking,found brilliant recipe homemade pizza
Joined a choir group; it feels great to be singing again.,Singing,joined choir group feels great singing
I'm so thrilled with my new skateboard.,Skateboarding,thrilled new skateboard
Snorkeling in the reef was an unforgettable experience.,Snorkeling,snorkeling reef unforgettable experience
Whitewater rafting was both exciting and terrifying!,Whitewater rafting,whitewater rafting exciting terrifying
"Got some beautiful fabric, thinking of quilting something special.",Quilting,got beautiful fabric thinking quilting special
My kayaking adventure was so peaceful; nature is amazing.,Kayaking,kayaking adventure peaceful nature amazing
Anyone tried that viral dance challenge? I'm so bad at it.,Dancing,tried viral dance challenge bad
"Nature's been my therapy. Hiking tomorrow, wanna join?",Hiking,nature therapy hiking tomorrow wanna join
Been binge-watching this series all night. So worth it.,Movie discussions,binge watching series night worth
"LOL, remember when planking was a thing? Let's bring it back.",Trending challenges,lol remember planking thing let bring
"The zodiac says I should try pottery. So, pottery class, anyone?",Pottery,zodiac says try pottery pottery class
"Thinking of starting a study group, but like, with snacks.",Studying,thinking starting study group like snacks
"Look at this artwork I did, inspired by that anime.",Drawing,look artwork inspired anime
Got this cute plant for my room. Hope I don't kill it.,Gardening,got cute plant room hope kill
Anyone down for a K-pop dance workout? So fun!,Dancing,k pop dance workout fun
DIY'd my jeans after watching a tutorial. They're so cute now!,Designing,jeans watching tutorial cute
Found this secret spot in the city. Perfect for skateboarding.,Skateboarding,found secret spot city perfect skateboarding
Chill gaming night? I need to destress.,Gaming,chill gaming night need destress
Need some Netflix recs. Feeling a drama or mystery vibe.,Movie discussions,need netflix recs feeling drama mystery vibe
Just got the sickest pair of sneakers. Check my story!,Shopping,got sickest pair sneakers check story
"Lowkey, aerial yoga is the move. Who's tried it?",Yoga,lowkey aerial yoga tried
"Guys, that new cafe downtown? Aesthetic AF.",Eating,guys new cafe downtown aesthetic af
Snapped some killer shots for the 'gram at the beach.,Photographing,snapped killer shots gram beach
Anyone up for a Minecraft build battle later?,Gaming,minecraft build battle later
Saw this embroidery DIY on TikTok and now I'm obsessed.,Crafting,saw embroidery diy tiktok obsessed
Who's down for a sunset hike? Need that nature therapy.,Hiking,sunset hike need nature therapy
"OMG, that new viral dance? I'm 100% doing a cover.",Dancing,omg new viral dance cover
Got a new journal cuz of all the BuJo inspo online.,Journaling,got new journal cuz bujo inspo online
Can't wait for the new season drop. It's gonna be lit.,Movie discussions,wait new season drop gon na lit
Been vibing to Lo-fi playlists while studying. Major zen vibes.,Music,vibing lo fi playlists studying major zen vibes
Thinking of upcycling my old clothes. Any ideas?,Designing,thinking upcycling old clothes ideas
Tried that bubble tea place everyone's hyped about. 10/10 recommend.,Eating,tried bubble tea place hyped recommend
Anyone else doing digital art? Let's collab!,Drawing,digital art let collab
Just thrifted the quirkiest lamp for my room. Thrift stores are gold!,Shopping,thrifted quirkiest lamp room thrift stores gold
"Y'all, my pet did the funniest thing. Video dropping soon.",Pet activities,pet funniest thing video dropping soon
I'm on a plant-buying spree. My room's turning into a jungle.,Gardening,plant buying spree room turning jungle
"Found the coolest mural in the city. Insta photoshoot, anyone?",Photographing,found coolest mural city insta photoshoot
"Joining that virtual workout challenge. Summer body, here I come!",Fitness challenges,joining virtual workout challenge summer body come
Learned this card trick and I've been flexing it all day.,Magic,learned card trick flexing day
"The memes about studying are so relatable. Dead week, am I right?",Studying,memes studying relatable dead week right
Trying to get into rollerblading without looking like a total noob.,Rollerblading,trying rollerblading looking like total noob
"Guys, I started a sneaker collection. It's getting out of hand.",Collecting,guys started sneaker collection getting hand
Watched a documentary on sustainable fashion. Mind blown.,Movie discussions,watched documentary sustainable fashion mind blown
Trying to learn that one song on the guitar. It's harder than it looks!,Music,trying learn song guitar harder looks
"LOL, anyone remember the ice bucket challenge?",Trending challenges,lol remember ice bucket challenge
Been binge-reading this webcomic series. No sleep gang!,Reading,binge reading webcomic series sleep gang
Starting a bullet journal was the best decision. So aesthetic.,Journaling,starting bullet journal best decision aesthetic
Join me for a DIY spa day? I've got all the face masks.,Self-care,join diy spa day got face masks
Anyone tried virtual reality gaming? It's next level.,Gaming,tried virtual reality gaming level
"Guys, copped the freshest kicks from that drop.",Shopping,guys copped freshest kicks drop
"No cap, that concert last night was everything.",Music,cap concert night
"Thinking of dying my hair pastel. YOLO, right?",Designing,thinking dying hair pastel yolo right
"Ugh, college apps are a mood killer. Send help.",Studying,ugh college apps mood killer send help
Who's hitting up that pop-up thrift shop this weekend?,Shopping,hitting pop thrift shop weekend
"Skrrt skrrt, got my driver's license! Who wants a ride?",Traveling,skrrt skrrt got driver license wants ride
"Spamming my finsta with my emotional breakdowns, lol.",Social media activities,spamming finsta emotional breakdowns lol
Did that Snapchat filter trend. I'm a different person.,Trending challenges,snapchat filter trend different person
VSCO girl vibes today with my hydro flask and scrunchies.,Trending fashion,vsco girl vibes today hydro flask scrunchies
Who else is vibing to that new K-pop bop?,Music,vibing new k pop bop
Rate my fit from today's OOTD on my story.,Fashion discussions,rate fit today ootd story
Just did the 'Which Hogwarts house are you?' quiz. I'm a Gryffindor!,Movie discussions,hogwarts house quiz gryffindor
Someone pls explain this new TikTok dance. Struggling here.,Dancing,pls explain new tiktok dance struggling
"Bro, that new indie game on Steam? So underrated.",Gaming,bro new indie game steam underrated
Got boba with the squad today. Mango passion fruit is the GOAT.,Eating,got boba squad today mango passion fruit goat
"Dude, the FOMO is real. Saw everyone at that beach party on Snap.",Social activities,dude fomo real saw beach party snap
Thinking of getting a minimalist tattoo. Ideas?,Designing,thinking getting minimalist tattoo ideas
Prom's coming up. Let's DIY our outfits!,Crafting,prom coming let diy outfits
Anyone else watching that viral YouTube drama? Tea is spilled.,Movie discussions,watching viral youtube drama tea spilled
"Spent too much on V-Bucks, but that skin was worth.",Gaming,spent v bucks skin worth
Beach day pics are up. Tag yourselves!,Photographing,beach day pics tag
Senioritis is hitting hard. Can't wait for college.,Studying,senioritis hitting hard wait college
Chill sesh at the skatepark? Bet.,Skateboarding,chill sesh skatepark bet
Join the group chat for our summer road trip plans!,Traveling,join group chat summer road trip plans
Let's start a band. I call dibs on vocals.,Music,let start band dibs vocals
My Spotify playlist is a mix of Billie Eilish and 80s rock. Don't judge.,Music,spotify playlist mix billie eilish rock judge
Bought a vintage Polaroid. The pics are so aesthetic.,Photographing,bought vintage polaroid pics aesthetic
Anyone else obsessed with cottagecore? Let's have a picnic!,Trending fashion,obsessed cottagecore let picnic
Need recs for college dorm decor. Pinterest is overwhelming.,Designing,need recs college dorm decor pinterest overwhelming
My room is plant central now. Adopted another succulent.,Gardening,room plant central adopted succulent
