Chat,Topic
"Hey, let's head to the mountains this weekend.",Traveling
"I tried this amazing soup recipe yesterday.",Cooking
"Anyone up for a movie tonight?",Movie discussions
"Guys, the local library has a book sale.",Reading
"I went on a 5k run today.",Running
"Check out this cool dance move.",Dancing
"Just finished knitting a sweater.",Knitting
"I'm planning to start my own vegetable garden.",Gardening
"Found a cool trail for mountain biking.",Biking
"Let's go for a swim at the beach tomorrow.",Swimming
"I've been practicing my guitar skills.",Music
"I've always wanted to try scuba diving.",Scuba diving
"Last night's Dungeons and Dragons session was epic.",Gaming
"I've started learning French.",Studying languages
"Look at this painting I made!",Painting
"I went kayaking in the river last weekend.",Kayaking
"I bought some new clothes for summer.",Shopping
"Thinking of attending a meditation retreat.",Meditating
"I'm making some cool pottery pieces.",Pottery
"Started practicing my archery skills.",Archery
"I'm trying to perfect this brownie recipe.",Baking
"I've captured some great shots during my city tour.",Photographing
"Did anyone catch that theatre play downtown?",Acting
"I need some book recommendations for my next read.",Reading
"Thinking of taking a surfing lesson this weekend.",Surfing
"I've got some puzzles, anyone up for a game night?",Puzzling
"Watched a cool video on leather crafting. Might try it.",Leatherworking
"I've been collecting stamps since I was a kid.",Collecting
"Going ice skating tonight, wish me luck!",Ice skating
"The stars were so clear last night.",Astronomy
"Spent the day volunteering at the local animal shelter.",Volunteering
"I've designed a new logo for our group.",Designing
"Does anyone have a guide on how to start brewing?",Brewing
"My martial arts class was intense today.",Martial arts
"I've been birdwatching in the park, spotted a rare species!",Birdwatching
"Want to join me for some rock climbing?",Climbing
"I've been into glassblowing lately. It's fascinating.",Glassblowing
"Writing a short story. Need some feedback.",Writing
"Join me for a yoga session in the evening?",Yoga
"Trying my hand at sewing, made a cool bag!",Sewing
"Learned a new card trick. Ready to be amazed?",Magic
"Let's plan a camping trip next month.",Camping
"I'm so into fencing these days. It's thrilling!",Fencing
"Setting up my telescope tonight for some stargazing.",Astronomy
"Practicing for the ballet recital next week.",Ballet
"Found a cool woodworking project online.",Woodworking
"Been meditating every morning. Feels refreshing.",Meditating
"Anyone up for a sail this weekend?",Sailing
"I've been sculpting a piece for the local art show.",Sculpting
"I've started journaling my daily activities.",Journaling
"Spent the afternoon making some cool bracelets.",Crafting
"I caught a huge fish on my trip last weekend.",Fishing
"Anyone know a good place for paragliding?",Paragliding
"My pottery class has been so rewarding, made a beautiful vase.",Pottery
"Going horseback riding at the ranch tomorrow.",Horseback riding
"Found a brilliant recipe for homemade pizza.",Cooking
"Joined a choir group; it feels great to be singing again.",Singing
"I'm so thrilled with my new skateboard.",Skateboarding
"Snorkeling in the reef was an unforgettable experience.",Snorkeling
"Whitewater rafting was both exciting and terrifying!",Whitewater rafting
"Got some beautiful fabric, thinking of quilting something special.",Quilting
"My kayaking adventure was so peaceful; nature is amazing.",Kayaking
"Anyone tried that viral dance challenge? I'm so bad at it.",Dancing
"Nature's been my therapy. Hiking tomorrow, wanna join?",Hiking
"Been binge-watching this series all night. So worth it.",Movie discussions
"LOL, remember when planking was a thing? Let's bring it back.",Trending challenges
"The zodiac says I should try pottery. So, pottery class, anyone?",Pottery
"Thinking of starting a study group, but like, with snacks.",Studying
"Look at this artwork I did, inspired by that anime.",Drawing
"Got this cute plant for my room. Hope I don't kill it.",Gardening
"Anyone down for a K-pop dance workout? So fun!",Dancing
"DIY'd my jeans after watching a tutorial. They're so cute now!",Designing
"Found this secret spot in the city. Perfect for skateboarding.",Skateboarding
"Chill gaming night? I need to destress.",Gaming
"Need some Netflix recs. Feeling a drama or mystery vibe.",Movie discussions
"Just got the sickest pair of sneakers. Check my story!",Shopping
"Lowkey, aerial yoga is the move. Who's tried it?",Yoga
"Guys, that new cafe downtown? Aesthetic AF.",Eating
"Snapped some killer shots for the 'gram at the beach.",Photographing
"Anyone up for a Minecraft build battle later?",Gaming
"Saw this embroidery DIY on TikTok and now I'm obsessed.",Crafting
"Who's down for a sunset hike? Need that nature therapy.",Hiking
"OMG, that new viral dance? I'm 100% doing a cover.",Dancing
"Got a new journal cuz of all the BuJo inspo online.",Journaling
"Can't wait for the new season drop. It's gonna be lit.",Movie discussions
"Been vibing to Lo-fi playlists while studying. Major zen vibes.",Music
"Thinking of upcycling my old clothes. Any ideas?",Designing
"Tried that bubble tea place everyone's hyped about. 10/10 recommend.",Eating
"Anyone else doing digital art? Let's collab!",Drawing
"Just thrifted the quirkiest lamp for my room. Thrift stores are gold!",Shopping
"Y'all, my pet did the funniest thing. Video dropping soon.",Pet activities
"I'm on a plant-buying spree. My room's turning into a jungle.",Gardening
"Found the coolest mural in the city. Insta photoshoot, anyone?",Photographing
"Joining that virtual workout challenge. Summer body, here I come!",Fitness challenges
"Learned this card trick and I've been flexing it all day.",Magic
"The memes about studying are so relatable. Dead week, am I right?",Studying
"Trying to get into rollerblading without looking like a total noob.",Rollerblading
"Guys, I started a sneaker collection. It's getting out of hand.",Collecting
"Watched a documentary on sustainable fashion. Mind blown.",Movie discussions
"Trying to learn that one song on the guitar. It's harder than it looks!",Music
"LOL, anyone remember the ice bucket challenge?",Trending challenges
"Been binge-reading this webcomic series. No sleep gang!",Reading
"Starting a bullet journal was the best decision. So aesthetic.",Journaling
"Join me for a DIY spa day? I've got all the face masks.",Self-care
"Anyone tried virtual reality gaming? It's next level.",Gaming
"Guys, copped the freshest kicks from that drop.",Shopping
"No cap, that concert last night was everything.",Music
"Thinking of dying my hair pastel. YOLO, right?",Designing
"Ugh, college apps are a mood killer. Send help.",Studying
"Who's hitting up that pop-up thrift shop this weekend?",Shopping
"Skrrt skrrt, got my driver's license! Who wants a ride?",Traveling
"Spamming my finsta with my emotional breakdowns, lol.",Social media activities
"Did that Snapchat filter trend. I'm a different person.",Trending challenges
"VSCO girl vibes today with my hydro flask and scrunchies.",Trending fashion
"Who else is vibing to that new K-pop bop?",Music
"Rate my fit from today's OOTD on my story.",Fashion discussions
"Just did the 'Which Hogwarts house are you?' quiz. I'm a Gryffindor!",Movie discussions
"Someone pls explain this new TikTok dance. Struggling here.",Dancing
"Bro, that new indie game on Steam? So underrated.",Gaming
"Got boba with the squad today. Mango passion fruit is the GOAT.",Eating
"Dude, the FOMO is real. Saw everyone at that beach party on Snap.",Social activities
"Thinking of getting a minimalist tattoo. Ideas?",Designing
"Prom's coming up. Let's DIY our outfits!",Crafting
"Anyone else watching that viral YouTube drama? Tea is spilled.",Movie discussions
"Spent too much on V-Bucks, but that skin was worth.",Gaming
"Beach day pics are up. Tag yourselves!",Photographing
"Senioritis is hitting hard. Can't wait for college.",Studying
"Chill sesh at the skatepark? Bet.",Skateboarding
"Join the group chat for our summer road trip plans!",Traveling
"Let's start a band. I call dibs on vocals.",Music
"My Spotify playlist is a mix of Billie Eilish and 80s rock. Don't judge.",Music
"Bought a vintage Polaroid. The pics are so aesthetic.",Photographing
"Anyone else obsessed with cottagecore? Let's have a picnic!",Trending fashion
"Need recs for college dorm decor. Pinterest is overwhelming.",Designing
"My room is plant central now. Adopted another succulent.",Gardening



